date,y
2025-06-01,18484.576162941892
2025-06-02,17361.936987916826
2025-06-03,21264.876917997917
2025-06-04,28118.650680897255
2025-06-05,27836.472404262342
2025-06-06,26548.21211405411
2025-06-07,26671.163186022055
2025-06-08,24768.34473830773
2025-06-09,20748.97526904769
2025-06-10,21998.69223353002
2025-06-11,20668.47103962136
2025-06-12,18561.496546310267
2025-06-13,17453.050469231704
2025-06-14,10272.518385036446
2025-06-15,3561.7612299378034
2025-06-16,1882.4651045709738
2025-06-17,1067.8941087718572
2025-06-18,6281.698860509955
2025-06-19,10117.207023433366
2025-06-20,9315.435326481653
2025-06-21,13650.69798415283
2025-06-22,12847.733849215563
2025-06-23,12337.817556368447
2025-06-24,9471.207107496488
2025-06-25,8135.202456012198
2025-06-26,7995.614257677707
2025-06-27,2846.368604316855
2025-06-28,3463.6224787346346
2025-06-29,2147.656224203281
2025-06-30,3873.076253794471
2025-07-01,7892.580518193465
2025-07-02,18449.918916157556
2025-07-03,20505.424795237523
2025-07-04,17899.460955319548
2025-07-05,18305.547049572328
2025-07-06,13369.365623201695
2025-07-07,13067.22975998884
2025-07-08,9518.982008484818
2025-07-09,5712.310426816772
2025-07-10,5860.3738750475
2025-07-11,6128.183508079737
2025-07-12,6622.434218453454
2025-07-13,7055.598846603805
2025-07-14,7688.5187999842565
2025-07-15,6575.5770848327265
2025-07-16,5850.204170811337
2025-07-17,5017.645248123246
2025-07-18,7341.644724382344
2025-07-19,9098.778953421795
2025-07-20,5558.23607226182
2025-07-21,6031.845127368771
2025-07-22,5767.314071510027
2025-07-23,6302.13645139353
2025-07-24,10132.615531143525
2025-07-25,13886.245622122875
2025-07-26,15680.922718999756
2025-07-27,13887.535204909233
2025-07-28,13064.992582683244
2025-07-29,14319.144786275594
2025-07-30,18827.090011870776
2025-07-31,18732.407717664206
2025-08-01,17996.40267739148
2025-08-02,14232.468645221452
2025-08-03,9946.956442117009
2025-08-04,11375.768586541817
2025-08-05,13654.915673626156
2025-08-06,14600.100565452414
2025-08-07,18828.888067567907
2025-08-08,19267.080206628467
2025-08-09,17461.147603858324
2025-08-10,16439.692979658867
2025-08-11,19522.72839057475
2025-08-12,21001.051216393134
2025-08-13,26669.03592584732
2025-08-14,21790.316693664863
2025-08-15,21658.72985530879
2025-08-16,19761.00359231171
2025-08-17,16443.74038790184
2025-08-18,15338.317451758001
2025-08-19,11910.310028325097
2025-08-20,11762.713503379882
2025-08-21,12979.34120466594
2025-08-22,15706.56293315609
2025-08-23,14742.311411779896
2025-08-24,12873.03981637173
2025-08-25,11536.44647604947
2025-08-26,13737.475964765956
2025-08-27,15724.304904600755
2025-08-28,15948.72253377052
2025-08-29,17974.630117630222
2025-08-30,17726.74808595192
2025-08-31,18719.48454844802
